country,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations
Afghanistan,12716525.0,10093624.0,2368962.0,6874.0,978002.0
Albania,59995941.0,27643887.0,18105837.0,778756.0,1044548.0
Algeria,2575030.0,2575030.0,0.0,30.0,2437370.0
Andorra,579478.0,372490.0,145530.0,4802.0,69281.0
Angola,16412310.0,11683758.0,4728552.0,0.0,1541670.0
Antigua and Barbuda,1597538.0,1109118.0,488420.0,6101.0,68256.0
Argentina,1517405864.0,1225037926.0,291820492.0,26726152.0,26125003.0
Armenia,819684.0,616495.0,147632.0,0.0,246628.0
Australia,439697748.0,264594634.0,60986560.0,9021092.0,9628541.0
Austria,606572397.0,404939894.0,207212254.0,9034807.0,8875584.0
Azerbaijan,249694953.0,156852774.0,92842179.0,3410566.0,4249160.0
Bahamas,816842.0,599273.0,217559.0,110.0,99455.0
Bahrain,191074260.0,115958193.0,83599278.0,1793786.0,2202494.0
Bangladesh,671170740.0,465281609.0,205889131.0,4122749.0,10110269.0
Barbados,13253983.0,9318056.0,3935927.0,162093.0,171280.0
Belarus,4521070.0,2986348.0,1534722.0,0.0,1010936.0
Belgium,771554509.0,528337437.0,254080969.0,12700209.0,12372891.0
Belize,3270353.0,2768680.0,501673.0,61633.0,146786.0
Benin,148912.0,121491.0,27421.0,0.0,41250.0
Bhutan,28521158.0,28518289.0,2869.0,482131.0,747553.0
Bolivia (Plurinational State of),100711861.0,75281798.0,25414025.0,1907240.0,2985106.0
Bosnia and Herzegovina,1733654.0,1314016.0,483014.0,0.0,466875.0
Botswana,3415466.0,2675876.0,739590.0,10435.0,276995.0
Brazil,6350256735.0,4532008588.0,1760450674.0,95603161.0,120348981.0
Burundi,2885486.0,2402413.0,483073.0,71772.0,121513.0
Bulgaria,148567506.0,92819544.0,55747962.0,1908706.0,1895076.0
Burkina Faso,85649.0,82168.0,3481.0,0.0,34898.0
Cambodia,486182846.0,287405224.0,198777613.0,9862163.0,9460068.0
Cameroon,1080403.0,910893.0,169510.0,400.0,153955.0
Canada,2680381765.0,2120363817.0,560017948.0,45252627.0,44233947.0
Cabo Verde,826506.0,708825.0,67016.0,7462.0,115833.0
Central African Republic,274839.0,274839.0,0.0,12887.0,80591.0
Chad,83645.0,69474.0,14171.0,0.0,18483.0
